filename,mean,std,median,min,max,q25,q75,iqr,sem,rms,sum,abs_mean,cv,peak_to_valley,peak_intensity,beam_pixels_10pct,beam_mean_10pct,beam_std_10pct,power_fraction_10pct
INT SID4 22h15m43s928ms.csv,1040.1127896581252,1043.2879626610065,746.4893999999999,0.0,3541.012,0.0,2057.560175,2057.560175,2.6082199066525162,1473.1862018878264,166418046.34530002,1040.1127896581252,1.0030527198919688,3541.012,3541.012,96281,1714.6072249727358,814.0714578773353,0.9919843541791601
INT SID4 22h15m44s127ms.csv,1060.2977764743748,1068.4853316602776,748.2633,0.0,3554.2461,0.0,2115.1219499999997,2115.1219499999997,2.671213329150694,1505.2857347988877,169647644.23589998,1060.2977764743748,1.0077219394094425,3554.2461,3554.2461,96500,1744.546355630052,842.3498064455762,0.9923434190704482
INT SID4 22h15m44s329ms.csv,1048.13995272375,1060.8428615539246,731.6259,0.0,3568.7039,0.0,2090.852575,2090.852575,2.6521071538848116,1491.3007422157707,167702392.4358,1048.13995272375,1.0121194777445162,3568.7039,3568.7039,95684,1736.8034676299067,835.3307286261313,0.990947717459182
INT SID4 22h15m44s535ms.csv,1048.7963862893748,1058.2890809563858,737.85575,0.0,3572.0005,0.0,2090.0995,2090.0995,2.645722702390964,1489.9471933315442,167807421.80629998,1048.7963862893748,1.009051036779975,3572.0005,3572.0005,96077,1731.8314138742883,832.7052274087927,0.9915483174687166
INT SID4 22h15m44s735ms.csv,1057.48546514375,1070.484258897981,740.5878,0.0,3647.0447,0.0,2099.784275,2099.784275,2.676210647244952,1504.72751534463,169197674.42299998,1057.48546514375,1.0122921725004164,3647.0447,3647.0447,95587,1753.666457014029,842.4864522610004,0.9907211561757342
INT SID4 22h15m44s937ms.csv,1035.5585512525,1040.189467178,741.3194000000001,0.0,3447.9673,0.0,2064.121425,2064.121425,2.6004736679450002,1467.7768489238856,165689368.2004,1035.5585512525,1.0044719015838344,3447.9673,3447.9673,96570,1702.7972551900175,816.2336152701279,0.992454330170492
INT SID4 22h15m45s126ms.csv,1049.5447309749998,1057.03370664494,745.6383,0.0,3550.3005,0.0,2086.9386,2086.9386,2.64258426661235,1489.5829671587012,167927156.95599997,1049.5447309749998,1.0071354516381423,3550.3005,3550.3005,96051,1733.8102348387836,828.1848087062585,0.9917050338090047
INT SID4 22h15m45s328ms.csv,1040.276440399375,1043.611833717645,750.4043999999999,0.0,3556.1504,0.0,2057.208325,2057.208325,2.6090295842941122,1473.5311075407021,166444230.4639,1040.276440399375,1.0032062567109457,3556.1504,3556.1504,96163,1716.7272570832856,813.3236482427847,0.9918375828515447
INT SID4 22h15m45s528ms.csv,1073.5478969975,1079.6784810298557,766.6270999999999,0.0,3642.1082,0.0,2117.8174249999997,2117.8174249999997,2.699196202574639,1522.5647519519657,171767663.51959997,1073.5478969975,1.0057105826852262,3642.1082,3642.1082,96259,1770.2687881953896,845.7432781310947,0.9920627654311407
INT SID4 22h15m45s735ms.csv,1054.07545609375,1062.3412943129674,745.6666,0.0,3517.6123,0.0,2086.3552250000002,2086.3552250000002,2.6558532357824185,1496.5416930995902,168652072.975,1054.07545609375,1.0078417898561536,3517.6123,3517.6123,96143,1740.1415906327031,833.7463261677964,0.9919974892511397
INT SID4 22h15m45s937ms.csv,1040.71867097125,1057.571829937504,717.0824,0.0,3436.49,0.0,2075.269075,2075.269075,2.6439295748437597,1483.760943421119,166514987.35540003,1040.71867097125,1.0161937701670374,3436.49,3436.49,95714,1724.7915818856177,837.3803922215695,0.9914224784838642
INT SID4 22h15m46s136ms.csv,1059.3511379175,1077.0582373339453,732.1089999999999,0.0,3589.8779,0.0,2105.0688250000003,2105.0688250000003,2.692645593334863,1510.7190439243545,169496182.0668,1059.3511379175,1.016715042616798,3589.8779,3589.8779,95265,1762.5676118952395,849.5705110427991,0.9906477036811645
INT SID4 22h15m46s330ms.csv,1063.1889948862502,1071.8421815375991,751.2615499999999,0.0,3570.3293,0.0,2103.9059500000003,2103.9059500000003,2.679605453843998,1509.7050442669674,170110239.1818,1063.1889948862502,1.0081388978751364,3570.3293,3570.3293,95971,1757.7686270810975,840.1498712245068,0.9916793587557813
INT SID4 22h15m46s527ms.csv,1074.5179807706247,1077.570815691466,772.8094000000001,0.0,3624.8667,0.0,2125.0586749999998,2125.0586749999998,2.6939270392286647,1521.755728290996,171922876.92329997,1074.5179807706247,1.0028411203678982,3624.8667,3624.8667,96577,1766.6706045569856,843.4310504680108,0.9924202644213467
INT SID4 22h15m46s730ms.csv,1031.7154196525,1049.804670583966,708.42475,0.0,3519.2632,0.0,2059.54085,2059.54085,2.6245116764599152,1471.9102097163072,165074467.1444,1031.7154196525,1.0175331788077355,3519.2632,3519.2632,95161,1717.5774619045617,829.3107154187525,0.9901373100258088
INT SID4 22h15m46s936ms.csv,1033.325678301875,1044.7671393210687,721.8467499999999,0.0,3510.1182,0.0,2061.84465,2061.84465,2.6119178483026717,1469.4534734819993,165332108.52830002,1033.325678301875,1.011072463657339,3510.1182,3510.1182,95992,1707.5766339309523,824.0521056831569,0.9914208298882413
INT SID4 22h15m47s133ms.csv,1054.2704808018752,1062.490328106907,748.22375,0.0,3612.3889,0.0,2093.725,2093.725,2.656225820267268,1496.7848504295234,168683276.92830002,1054.2704808018752,1.0077967157904097,3612.3889,3612.3889,95820,1744.8534367532875,831.7951023863312,0.9911584559788108
INT SID4 22h15m47s337ms.csv,1045.462357456875,1050.8527389438052,745.80565,0.0,3564.4209,0.0,2078.823175,2078.823175,2.627131847359513,1482.3211925838611,167273977.1931,1045.462357456875,1.0051559785471775,3564.4209,3564.4209,96193,1724.7512772311916,822.1492547930883,0.9918398689066604
INT SID4 22h15m47s526ms.csv,1050.5700375506249,1058.1563872126571,744.3199,0.0,3530.7261,0.0,2090.890125,2090.890125,2.6453909680316428,1491.1020573739045,168091206.00809997,1050.5700375506249,1.007221174591766,3530.7261,3530.7261,96171,1733.7156733890674,830.21380024938,0.9919208386039271
INT SID4 22h15m47s731ms.csv,1075.6533228087499,1085.4588809376633,755.6559500000001,0.0,3613.1746,0.0,2138.0153250000003,2138.0153250000003,2.7136472023441582,1528.150414453633,172104531.6494,1075.6533228087499,1.0091159092999482,3613.1746,3613.1746,95993,1778.038895021512,852.423320470477,0.9917187305532232
INT SID4 22h15m47s935ms.csv,1074.4218855425,1083.6612627555633,760.26545,0.0,3666.3352,0.0,2124.4318000000003,2124.4318000000003,2.7091531568889082,1526.006808968707,171907501.6868,1074.4218855425,1.0085993940903366,3666.3352,3666.3352,95741,1779.8979458257172,847.9629003023354,0.9912843102203314
INT SID4 22h15m48s136ms.csv,1037.1849035799999,1051.6349248134584,722.97285,0.0,3502.7119,0.0,2060.6326,2060.6326,2.6290873120336458,1477.0516670724717,165949584.57279998,1037.1849035799999,1.0139319625493788,3502.7119,3502.7119,95614,1720.4110557062772,828.7154399164281,0.9912370862738614
INT SID4 22h15m48s335ms.csv,1084.115507954375,1090.0361242082345,768.87945,0.0,3617.0632,0.0,2158.2873,2158.2873,2.7250903105205864,1537.360647521876,173458481.2727,1084.115507954375,1.0054612411781012,3617.0632,3617.0632,96458,1784.5527748926995,855.4281258201501,0.9923665323114507
INT SID4 22h15m48s535ms.csv,1074.01600713625,1079.1233277608721,769.0333,0.0,3635.8896,0.0,2124.4832499999998,2124.4832499999998,2.6978083194021805,1522.5013175471686,171842561.1418,1074.01600713625,1.0047553487012166,3635.8896,3635.8896,96352,1769.4081915725674,845.1452776953552,0.9921058958945532
INT SID4 22h15m48s726ms.csv,1066.10512211875,1077.1116847107116,748.5669,0.0,3596.8865,0.0,2119.778525,2119.778525,2.692779211776779,1515.5007296891345,170576819.539,1066.10512211875,1.0103240875253339,3596.8865,3596.8865,95956,1762.6322795270748,847.6082132799323,0.9915482271940802
INT SID4 22h15m48s931ms.csv,1065.42225880375,1074.3621214119416,750.20335,0.0,3552.9192,0.0,2122.946575,2122.946575,2.685905303529854,1513.0668667947075,170467561.4086,1065.42225880375,1.0083909103027642,3552.9192,3552.9192,96182,1758.0772255702732,844.6694095451909,0.9919505054952305
INT SID4 22h15m49s127ms.csv,1074.9057546793751,1083.7108528636275,758.64125,0.0,3569.979,0.0,2137.285475,2137.285475,2.7092771321590687,1526.3827350552249,171984920.74870002,1074.9057546793751,1.0081915071585767,3569.979,3569.979,96246,1772.7968907081852,852.2130188273711,0.9920905204963424
