filename,mean,std,median,min,max,q25,q75,iqr,sem,rms,sum,abs_mean,cv,peak_to_valley
GRA SID4 22h15m26s734ms_GMod.csv,0.55472764625,0.5721649494503254,0.4789,0.0,17.3079,0.0,0.9416,0.9416,0.0014304123736258135,0.7969275028595763,88756.4234,0.55472764625,1.031433989845596,17.3079
GRA SID4 22h15m26s924ms_GMod.csv,0.5544623706249999,0.5725297018074382,0.4788,0.0,17.4018,0.0,0.9408,0.9408,0.0014313242545185955,0.7970048501745065,88713.97929999999,0.5544623706249999,1.0325853153227331,17.4018
GRA SID4 22h15m27s125ms_GMod.csv,0.55209277625,0.5717215683753026,0.4748,0.0,17.1971,0.0,0.9352,0.9352,0.0014293039209382567,0.794776661976967,88334.84419999999,0.55209277625,1.0355534304534693,17.1971
GRA SID4 22h15m27s325ms_GMod.csv,0.5509675643749999,0.5633813935106117,0.47705,0.0,10.1764,0.0,0.9373,0.9373,0.001408453483776529,0.7880113373588368,88154.8103,0.5509675643749999,1.02253096177934,10.1764
GRA SID4 22h15m27s533ms_GMod.csv,0.55193127875,0.5692648570122028,0.47765,0.0,16.2058,0.0,0.9376,0.9376,0.0014231621425305069,0.7928988513683507,88309.0046,0.55193127875,1.0314053196992712,16.2058
GRA SID4 22h15m27s735ms_GMod.csv,0.5491043775,0.5658775786845821,0.4729,0.0,12.0235,0.0,0.931425,0.931425,0.0014146939467114552,0.7884992391173405,87856.7004,0.5491043775,1.0305464714375758,12.0235
GRA SID4 22h15m27s934ms_GMod.csv,0.551060705,0.5674765867175763,0.4748,0.0,16.0501,0.0,0.9362,0.9362,0.0014186914667939407,0.7910092062563179,88169.71280000001,0.551060705,1.029789606784876,16.0501
GRA SID4 22h15m28s124ms_GMod.csv,0.5504721625,0.5666608561789721,0.47455,0.0,16.0605,0.0,0.9377,0.9377,0.0014166521404474302,0.7900140003250734,88075.546,0.5504721625,1.0294087417689224,16.0605
GRA SID4 22h15m28s325ms_GMod.csv,0.55153954875,0.5698682456156027,0.4753,0.0,16.2247,0.0,0.9361,0.9361,0.0014246706140390068,0.7930596834475953,88246.3278,0.55153954875,1.0332318813874894,16.2247
GRA SID4 22h15m28s527ms_GMod.csv,0.552731651875,0.5725028318257903,0.4756,0.0,15.4174,0.0,0.9368,0.9368,0.0014312570795644757,0.7957824595554915,88437.0643,0.552731651875,1.0357699434846657,15.4174
GRA SID4 22h15m28s734ms_GMod.csv,0.552468433125,0.5692782385222979,0.4768,0.0,16.2821,0.0,0.9391,0.9391,0.0014231955963057447,0.7932824572426505,88394.94930000001,0.552468433125,1.0304267255618278,16.2821
GRA SID4 22h15m28s933ms_GMod.csv,0.5513690368749999,0.568059442074096,0.4754,0.0,16.4779,0.0,0.936925,0.936925,0.00142014860518524,0.7916421715219177,88219.0459,0.5513690368749999,1.0302708423611564,16.4779
GRA SID4 22h15m29s134ms_GMod.csv,0.55173169625,0.5705382042750192,0.4752,0.0,15.5031,0.0,0.9351,0.9351,0.0014263455106875481,0.7936747902779514,88277.0714,0.55173169625,1.034086328829409,15.5031
GRA SID4 22h15m29s324ms_GMod.csv,0.554140921875,0.5757147688028174,0.4752,0.0,16.1821,0.0,0.9376249999999999,0.9376249999999999,0.0014392869220070433,0.7990729533448823,88662.5475,0.554140921875,1.0389320587510138,16.1821
GRA SID4 22h15m29s524ms_GMod.csv,0.5538367775,0.5715441751380127,0.4768,0.0,11.2377,0.0,0.941,0.941,0.0014288604378450318,0.7958617207804538,88613.88440000001,0.5538367775,1.0319722314522182,11.2377
GRA SID4 22h15m29s729ms_GMod.csv,0.552746196875,0.5713712380397784,0.4769,0.0,16.76,0.0,0.9374,0.9374,0.001428428095099446,0.7949788735633561,88439.3915,0.552746196875,1.033695466868959,16.76
GRA SID4 22h15m29s935ms_GMod.csv,0.553819345625,0.5741887165964675,0.4746,0.0,16.6966,0.0,0.9387,0.9387,0.0014354717914911688,0.7977508942495379,88611.0953,0.553819345625,1.036779811198981,16.6966
GRA SID4 22h15m30s132ms_GMod.csv,0.553437759375,0.5731375905757953,0.4761,0.0,16.2835,0.0,0.9388,0.9388,0.0014328439764394881,0.7967295640248249,88550.04149999999,0.553437759375,1.0355953869537324,16.2835
